Donges,413.0600000000001,44052
Callac,413.04999999999995,22025
Plougonven,411.62000000000006,29191
Lanrivain,411.0699999999998,22115
Bubry,410.86000000000007,56026
Luitré-Dompierre,409.6499999999998,35163
Quilly,408.79000000000013,44139
La Chapelle-Neuve,407.4700000000001,22037
Iffendic,401.41999999999956,35133
Gosné,401.3299999999999,35121
Sulniac,399.05000000000024,56247
Kerien,397.11000000000035,22088
Sérent,396.9300000000001,56244
Val-Couesnon,393.12999999999977,35004
Remouillé,391.99000000000007,44142
Saint-Lumine-de-Coutais,391.51,44174
Plumaudan,391.37000000000006,22239
Grand-Champ,390.94,56067
Crozon,390.41999999999985,29042
Bon Repos sur Blavet,390.3399999999999,22107
Saint-Lyphard,388.59999999999997,44175
Plufur,387.31000000000006,22238
Quimper,385.3699999999998,29232
Argentré-du-Plessis,384.81000000000006,35006
Saint-Viaud,384.69,44192
Trébrivan,381.8000000000001,22344
Lavau-sur-Loire,381.5000000000001,44080
Forges de Lanouée,381.5,56102
Saint-Nicolas-du-Pélem,377.9599999999997,22321
Miniac-Morvan,376.86,35179
Gahard,376.4899999999998,35118
Muzillac,376.0299999999999,56143
Loyat,374.61999999999995,56122
Pont-Saint-Martin,374.12,44130
La Chapelle-Glain,369.8500000000001,44031
Gourin,368.2500000000001,56066
Pleucadeuc,365.89000000000016,56159
Cordemais,362.43,44045
Hillion,359.8899999999999,22081
Pleyben,357.04,29162
Poullaouen,357.0399999999999,29227
Plouigneau,356.5599999999999,29199
Bouée,355.62,44019
Besné,353.9399999999998,44013
Plonéis,350.70000000000005,29173
Cléguérec,348.78000000000003,56041
Le Mené,348.26999999999987,22046
Balazé,343.05,35015
Plonéour-Lanvern,341.44000000000005,29174
Maxent,336.84999999999997,35169
Crossac,334.53999999999996,44050
Châteauneuf-du-Faou,333.5800000000001,29027
Plabennec,332.61,29160
Ploumilliau,332.31999999999994,22226
Bangor,331.3599999999999,56009
Saint-Rémy-du-Plain,329.8299999999999,35309
Goven,328.93999999999994,35123
Saint-Ouen-des-Alleux,328.02000000000004,35304
Plonévez-du-Faou,322.3600000000002,29175
Malansac,321.15000000000015,56123
Landudec,318.48000000000013,29108
Plounévez-Lochrist,317.80999999999995,29206
Paule,317.3899999999998,22163
Mauron,316.33000000000004,56127
Plomodiern,315.5600000000002,29172
Ménéac,315.36,56129
Châteaubriant,314.6300000000001,44036
Bouguenais,314.29,44020
Plourac'h,313.56000000000006,22231
Guilliers,311.35000000000014,56080
Teillay,309.35999999999996,35332
Mellionnec,309.25999999999993,22146
Port-Saint-Père,309.2499999999998,44133
Plouay,307.80999999999995,56166
Saint-Just,305.04999999999995,35285
Elven,304.7300000000001,56053
Ruffiac,304.6800000000001,56200
Querrien,303.41999999999996,29230
Guéhenno,303.27,56071
Noyal-Châtillon-sur-Seiche,301.54,35206
Bannalec,301.10999999999996,29004
Ancenis-Saint-Géréon,300.55,44003
Plélan-le-Grand,300.15999999999997,35223
Rosnoën,299.0899999999999,29240
Pouldergat,298.5100000000001,29224
Rougé,298.23999999999995,44146
Caro,298.14000000000004,56035
Pleudihen-sur-Rance,294.85,22197
Malguénac,294.6699999999998,56125
Conquereuil,293.26999999999987,44044
Amanlis,292.0099999999998,35002
Carentoir,291.48999999999995,56033
Saint-Jacut-les-Pins,291.1900000000001,56221
Saint-Yvi,290.48999999999995,29272
Bruz,290.2099999999999,35047
Loqueffret,289.31000000000006,29141
Fercé,289.22000000000014,44058
La Chapelle-Launay,288.34000000000003,44033
Plouzévédé,288.0199999999999,29213
Lanvellec,285.2999999999999,22119
Château-Thébaud,283.3100000000001,44037
Maël-Carhaix,283.09,22137
Trébry,282.23,22345
Casson,282.22999999999985,44027
Loguivy-Plougras,281.82000000000005,22131
Pont-Scorff,280.97999999999996,56179
Saint-Dolay,280.13,56212
Plouguernével,279.80999999999995,22220
Cast,279.2699999999999,29025
Meillac,278.27000000000004,35172
Pluzunet,277.37999999999994,22245
Aigrefeuille-sur-Maine,276.80000000000007,44002
Domalain,276.6899999999999,35097
Cesson-Sévigné,276.47999999999996,35051
Janzé,276.21,35136
Plougasnou,275.70000000000005,29188
La Marne,275.1700000000001,44090
Saint-Germain-en-Coglès,273.7700000000001,35273
Guipry-Messac,273.5700000000001,35176
Riec-sur-Bélon,273.21000000000015,29236
Erbrée,271.9400000000001,35105
Saint-Malo-de-Phily,271.2699999999999,35289
Allaire,270.86999999999995,56001
Betton,270.61999999999995,35024
Kerpert,270.19,22092
Teillé,270.18999999999994,44202
Retiers,269.42999999999995,35239
Massérac,269.42999999999984,44092
Plougastel-Daoulas,268.97,29189
Penvénan,268.74000000000007,22166
Corsept,267.87,44046
